campaign_id,name,target_types,keywords,color
refineries_and_oil_hubs,Refineries And Oil Hubs,strategic industry|strategic_industry|industry|industrial|energy logistics|energy_logistics|strategic logistics|strategic_logistics,refinery;oil;fuel;depot;terminal;tanker;storage;fire,#f59e0b
energy_grid_degradation,Energy Grid Degradation,energy|strategic infrastructure|strategic_infrastructure|electrical substation|electrical_substation|critical infrastructure|critical_infrastructure|energy industry|energy_industry,power;substation;grid;transformer;outage;electricity;plant;generation,#eab308
air_defense_suppression,Air Defense Suppression,air defense|air_defense|air defence|air_defence|strategic air defense|strategic_air_defense|advanced systems|advanced_systems|radar ew|radar_ew|air defense industry|air_defense_industry,radar;sam;s-300;s-400;nebo;launcher;battery;intercept,#ef4444
missile_and_strike_complex,Missile And Strike Complex,missile system|missile_system|strategic missile system|strategic_missile_system|strategic|strategic defense|strategic_defense,ballistic;cruise;iskander;zircon;launcher;strike;long-range;oreshnik,#f97316
logistics_network_attrition,Logistics Network Attrition,logistics|strategic logistics|strategic_logistics|tactical logistics|tactical_logistics|supply|command logistics|command_logistics|command logistics air defense|command_logistics_air_defense,depot;ammunition;warehouse;rail;bridge;supply;convoy;hub,#fb7185
command_and_control_disruption,Command And Control Disruption,command|command and control|command_and_control|operational hq|operational_hq|command post|command_post|military hq|military_hq|command infrastructure|command_infrastructure|leadership,hq;headquarters;command;control;staff;communications;bunker;cp,#38bdf8
naval_pressure_campaign,Naval Pressure Campaign,naval|maritime|strategic naval|strategic_naval|naval infrastructure|naval_infrastructure|civilian shipping|civilian_shipping|civilian logistics|civilian_logistics,port;fleet;warship;shipyard;harbor;tanker;sea;novorossiysk,#06b6d4
aerospace_asset_attrition,Aerospace Asset Attrition,air|air asset|air_asset|airborne|aircraft|aviation|airfield|airspace,airfield;airbase;helicopter;aircraft;sortie;runway;hangar;aviation,#22c55e
uav_ecosystem,UAV Ecosystem,uav|drone|uav drone|uav_drone|uav interception|uav_interception|uav swarm|uav_swarm|drone swarm|drone_swarm|uav transport|uav_transport|surveillance,uav;drone;shahed;loitering;interceptor;reconnaissance;swarm;pilotless,#a3e635
civilian_pressure_ops,Civilian Pressure Ops,civilian infrastructure|civilian_infrastructure|infrastructure civilian|infrastructure_civilian|civilian|residential|civilian residential|civilian_residential|residential energy|residential_energy,residential;civilian;hospital;school;building;injured;casualties;blackout,#94a3b8
